job_title, company_name, job_type
2D Illustrator - Alexandria, Arabic Localizer -, Full Time
Creative Graphic Designer, Arabia for Information Technology -, Full Time
Senior graphic designer, Confidential -, Full Time
Graphic Designer, Gest For Metals  -, Part Time
Graphic Design Instructor, Engosoft -, Full TimePart TimeFreelance / Project
Senior Graphic Designer, Vision 22 Advertising Agency -, Full Time
Graphic Designer, Digital Experts  -, Full Time
Graphic & Motion Designer, Mico World Limited -, Full Time
Graphic Designer, Confidential -, Full Time
Product Designer UI/UX, Cashcall -, Full Time
Fashion Designer, A2Z Lingerie -, Full Time
Fashion Designer, Hatolna -, Full Time
Web Designer, wolfers -, Full Time
Graphic Designer, Onecard -, Full Time
Graphic Designer, Al Soug-Cashi -, Full Time
